Name,Component,Side,Place X,Place Y,Rotation
U6,AD8221ARZ,Top,5.815,0.4016,90
U8,AD8221ARZ,Top,5.6378,1.689,90
U1,ATmega324P-TQFP,Top,1.5315,2.5866,90
J13,Con_plug_2n_3-50p,Top,8.8898,2.3898,90
J15,Con_plug_2n_3-50p,Top,0.2047,1.7992,270
J1,Con_plug_2n_5-08p,Top,0.2668,4.8425,270
J10,Con_plug_2n_5-08p,Top,8.8277,4.9252,90
J11,Con_plug_2n_5-08p,Top,8.8277,4.3346,90
J9,Con_plug_3n_3-50p,Top,8.89,0.7482,90
J12,Con_plug_3n_5-08p,Top,8.8277,3.641,90
J3,Con_plug_4n_2-50p,Top,0.2254,4.252,270
J5,Con_plug_4n_2-50p,Top,0.2254,3.6811,270
J4,C_AVR_ISP-6,Top,1.5354,1.7802,180
J6,C_AVR_JTAG_10,Top,1.3543,3.2119,0
C5,C_Cap_Cera_SMD_2012m,Top,2.5945,3.3346,0
C6,C_Cap_Cera_SMD_2012m,Top,2.3228,3.7756,180
C7,C_Cap_Cera_SMD_2012m,Top,3.0472,3.3346,0
C8,C_Cap_Cera_SMD_2012m,Top,2.685,2.8622,180
C9,C_Cap_Cera_SMD_2012m,Top,2.0551,3.7756,180
C10,C_Cap_Cera_SMD_2012m,Top,3.0394,2.8622,180
C11,C_Cap_Cera_SMD_2012m,Top,1.5276,2.2283,180
C12,C_Cap_Cera_SMD_2012m,Top,2.0551,3.5236,180
C13,C_Cap_Cera_SMD_2012m,Top,1.5118,3.878,270
C14,C_Cap_Cera_SMD_2012m,Top,0.874,3.9291,270
C15,C_Cap_Cera_SMD_2012m,Top,0.7756,3.9291,270
C16,C_Cap_Cera_SMD_2012m,Top,1.6063,3.878,270
C18,C_Cap_Cera_SMD_2012m,Top,1.937,2.563,180
C19,C_Cap_Cera_SMD_2012m,Top,2.5984,1.7283,0
C20,C_Cap_Cera_SMD_2012m,Top,2.5984,1.622,0
C21,C_Cap_Cera_SMD_2012m,Top,3.0551,2.0827,270
C22,C_Cap_Cera_SMD_2012m,Top,3.0551,1.7283,90
C23,C_Cap_Cera_SMD_2012m,Top,3.1496,2.0827,270
C24,C_Cap_Cera_SMD_2012m,Top,3.1496,1.7283,90
C26,C_Cap_Cera_SMD_2012m,Top,2.7953,2.4254,90
C28,C_Cap_Cera_SMD_2012m,Top,3.2677,2.4648,270
C29,C_Cap_Cera_SMD_2012m,Top,2.8898,2.2126,180
C30,C_Cap_Cera_SMD_2012m,Top,2.8819,1.6974,0
C31,C_Cap_Cera_SMD_2012m,Top,2.8898,1.9528,180
C32,C_Cap_Cera_SMD_2012m,Top,4.2087,3.2913,270
