Ref Designator,Mid X,Mid Y,Layer,Rotation,Package
U6,5.815,0.4016,Top,90,SOIC-8
U8,5.6378,1.689,Top,90,SOIC-8
U1,1.5315,2.5866,Top,90,TQFP-44
J13,8.8898,2.3898,Top,90,TH 2pin 3.5mm
J15,0.2047,1.7992,Top,270,TH 2pin 3.5mm
J1,0.2668,4.8425,Top,270,TH 2pin 5.08mm
J10,8.8277,4.9252,Top,90,TH 2pin 5.08mm
J11,8.8277,4.3346,Top,90,TH 2pin 5.08mm
J9,8.89,0.7482,Top,90,TH 3pin 3.5mm
J12,8.8277,3.641,Top,90,TH 3pin 5.08mm
J3,0.2254,4.252,Top,270,TH 4pin 2.5mm
J5,0.2254,3.6811,Top,270,TH 4pin 2.5mm
J4,1.5354,1.7802,Top,180,TH 2x3pin 2.5mm
J6,1.3543,3.2119,Top,0,TH 2x5pin 1.27mm
C5,2.5945,3.3346,Top,0,0805
C6,2.3228,3.7756,Top,180,0805
C7,3.0472,3.3346,Top,0,0805
C8,2.685,2.8622,Top,180,0805
C9,2.0551,3.7756,Top,180,0805
C10,3.0394,2.8622,Top,180,0805
C11,1.5276,2.2283,Top,180,0805
C12,2.0551,3.5236,Top,180,0805
C13,1.5118,3.878,Top,270,0805
C14,0.874,3.9291,Top,270,0805
C15,0.7756,3.9291,Top,270,0805
C16,1.6063,3.878,Top,270,0805
C18,1.937,2.563,Top,180,0805
C19,2.5984,1.7283,Top,0,0805
C20,2.5984,1.622,Top,0,0805
C21,3.0551,2.0827,Top,270,0805
C22,3.0551,1.7283,Top,90,0805
C23,3.1496,2.0827,Top,270,0805
C24,3.1496,1.7283,Top,90,0805
C26,2.7953,2.4254,Top,90,0805
C28,3.2677,2.4648,Top,270,0805
C29,2.8898,2.2126,Top,180,0805
C30,2.8819,1.6974,Top,0,0805
C31,2.8898,1.9528,Top,180,0805
C32,4.2087,3.2913,Top,270,0805
C33,5.563,0.2717,Top,0,0805
C34,5.622,0.5945,Top,0,0805
C35,6.2087,1.0906,Top,0,0805
C36,6.2953,0.8465,Top,180,0805
C38,5.4173,1.5197,Top,90,0805
C39,5.437,1.878,Top,0,0805
C40,5.9685,2.0906,Top,0,0805
C41,6.4724,2.1299,Top,270,0805
C42,6.7008,1.5669,Top,90,0805
C43,6.7008,1.9213,Top,90,0805
C44,6.7008,2.2087,Top,90,0805
C45,6.252,2.8031,Top,0,0805
C46,6.252,2.4094,Top,0,0805
C47,5.7244,3.2047,Top,180,0805
C48,5.8976,3.563,Top,0,0805
C49,5.9134,3.2087,Top,180,0805
C50,6.0472,3.4055,Top,270,0805
C51,5.462,2.7756,Top,0,0805
C52,5.5591,0.8189,Top,0,0805
C53,1.0945,2.6063,Top,0,0805
C54,1.5591,2.9803,Top,0,0805
C55,0.7717,2.3661,Top,180,0805
C56,2.0118,0.4724,Top,270,0805
C57,6.1575,0.4016,Top,90,DNI
C58,2.1496,2.7362,Top,270,0805
C59,2,2.9094,Top,180,0805
C60,2.8504,1.5236,Top,0,0805
C61,3.4449,1.2638,Top,90,0805
C62,3.189,1.5512,Top,0,0805
C63,3.0551,1.9055,Top,270,0805
C64,3.1496,0.6654,Top,90,0805
C65,3.5236,0.5472,Top,270,0805
C66,3.2638,0.2717,Top,180,0805
C67,3.315,0.9488,Top,0,0805
C68,3.4606,0.374,Top,180,0805
C69,3.5039,0.8465,Top,180,0805
C70,2.9764,0.8071,Top,90,0805
C71,2.9291,0.3346,Top,270,0805
C72,4.5157,0.9409,Top,0,0805
C73,4.9134,1.2638,Top,270,0805
C74,4.3701,1.1378,Top,90,0805
C75,4.4685,1.1378,Top,90,0805
C76,2.7913,1.0276,Top,0,0805
C77,5.862,1.6866,Top,270,0805
C80,3.5236,4.7087,Top,90,0805
C84,4.0354,3.9291,Top,270,0805
C85,3.6693,4.1024,Top,90,0805
C86,4.185,5.0787,Top,90,0805
C87,4.5512,4.8819,Top,270,0805
C88,5.4449,4.8858,Top,270,0805
C89,5.0669,5.0787,Top,90,0805
C90,3.9252,3.7874,Top,0,0805
C91,3.8386,4.2441,Top,180,0805
C92,4.3465,5.2008,Top,180,DNI
C93,4.2992,4.7362,Top,180,DNI
C94,5.189,4.7362,Top,180,DNI
C95,5.2362,5.1929,Top,0,0805
C96,5.7677,4.7323,Top,0,0805
C97,5.7205,5.2087,Top,180,0805
C98,4.2126,1.7677,Top,180,0805
C99,4.2126,1.8622,Top,180,0805
C100,4.2441,2.3425,Top,0,DNI
C101,4.9449,2.0157,Top,270,0805
C102,4.5827,2.2677,Top,270,0805
C103,4.6693,1.7559,Top,180,0805
C104,4.7795,2.437,Top,180,0805
C105,1.9173,0.4724,Top,270,0805
C110,4.7362,4.3819,Top,270,0805
C111,4.6693,3.8543,Top,180,0805
C114,5.626,4.3819,Top,270,0805
C115,5.5551,3.8543,Top,180,0805
C116,5.5276,4.4134,Top,270,0805
C117,5.4291,4.4134,Top,270,0805
C118,5.3307,4.4134,Top,270,0805
C119,5.2323,4.4134,Top,270,0805
C122,3.3228,3.7835,Top,0,0805
C123,1.5079,4.3346,Top,0,0805
C124,1.9921,5.3268,Top,270,0805
C126,3.4449,1.4567,Top,90,0805
C127,4.811,5.2953,Top,0,DNI
