Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Package
CAP ALUM POLYMR 82UF 20% 25V SMD,2,"C1,C2",APXJ250ARA820MF80G,United Chemi-Con,6.3mm SM Can
CAP CER 0.1UF 50V X7R 0805,60,"C10,C101,C102,C103,C104,C11,C110,C111,C114,C115,C123,C126,C13,C14,C18,C19,C21,C22,C26,C28,C29,C30,C32,C33,C34,C35,C36,C38,C39,C40,C41,C45,C46,C47,C48,C51,C52,C53,C54,C55,C56,C60,C61,C62,C64,C65,C72,C73,C76,C8,C84,C85,C86,C87,C88,C89,C9,C96,C97,C99",08055C104KAT2A,KYOCERA AVX,0805
not populated!,33,"C100,C106,C107,C108,C109,C127,C57,C92,C93,C94,D10,J11,J13,J14,J17,J18,J8,R105,R129,R156,R175,R176,R22,R6,R89,R89,R92,RS1,RS2,RS3,RT1,RT2,RT3", , ,0
CAP CER 1UF 50V X7R 0805,15,"C105,C12,C124,C128,C129,C15,C16,C20,C23,C24,C31,C50,C74,C80,C98",CL21B105KBFNFNE,Samsung Electro-Mechanics,0805
CAP CER 4700PF 100V X7R 0805,2,"C116,C63",885012207120,Würth Elektronik,0805
CAP CER SMD 0805 .01UF 100V X7R,4,"C117,C49,C75,C90",C0805C103K1RAC7210,KEMET,0805
CAP CER 0.022UF 100V X7R 0805,1,C118,CC0805KRX7R0BB223,YAGEO,0805
CAP CER 0.047UF 100V X7R 0805,1,C119,CL21B473KCFNNNE,Samsung Electro-Mechanics,0805
CAP CER 200PF 50V NPO 0805,3,"C122,C68,C69",CC0805JRNPO9BN201,YAGEO,0805
CAP TANT 10UF 20% 16V 1411,6,"C125,C17,C25,C27,C3,C37",TPSB106M016R0800,KYOCERA AVX,1411
CAP ALUM 15UF 20% 50V SMD,1,C4,865080643007,Würth Elektronik,6.3mm SM Can
CAP CER 6800PF 50V X7R 0805,4,"C42,C43,C44,C77",08055C682KAT2A,KYOCERA AVX,0805
CAP CER 0.33UF 50V X7R 0805,3,"C5,C6,C7",CL21B334KBFNFNE,Samsung Electro-Mechanics,0805
CAP CER 10PF 50V C0G/NP0 0805,2,"C58,C59",C0805C100K5GAC7800,KEMET,0805
CAP CER 100PF 100V C0G/NP0 0805,2,"C66,C67",CL21C101JCANNNC,Samsung Electro-Mechanics,0805
CAP CER 1500PF 50V C0G/NP0 0805,2,"C70,C71",C0805C152J5GAC7800,KEMET,0805
CAP ALUM POLY 100UF 20% 63V SMD,1,C78,APD1012101M063R,KYOCERA AVX,10mm SM Can
CAP ALUM 470UF 20% 25V SMD,1,C79,EEE-FT1E471GP,Panasonic Electronic Components,8mm SM Can
CAP TANT 10UF 10% 25V 1411,2,"C81,C82",TAJB106K025TNJ,KYOCERA AVX,1411
CAP CER 4.7PF 50V C0G/NP0 0805,2,"C91,C95",VJ0805A4R7BXACW1BC,Vishay Vitramon,0805
DIODE ZENER 30V 1W PMDS,2,"D1,D16",PTZTE2530A,Rohm Semiconductor,SOD-106-2
